playlist_title,video_id,title,views,likes,comments,published_at,duration
PODPAH VISITA,2VHTqQfeKB4,"ANA CASTELA, RET, RYAN, XAMÃ, OROCHI E MAIS NO POESIA ACÚSTICA - Podpah Visita #45",211460,8576,53,2024-08-07T15:49:17Z,PT44M6S
PODPAH VISITA,88Nu1FtgTNc,MC REBECCA ABRE TUDO DA SUA MANSÃO NO RJ - Podpah Visita #44,60351,1906,29,2024-07-31T15:42:52Z,PT39M45S
PODPAH VISITA,u2GBrOgYJZ0,CONHEÇA A MANSÃO MILIONÁRIA DO MAUMAU - Podpah Visita #43,868045,32771,202,2024-07-24T15:52:16Z,PT48M31S
PODPAH VISITA,QF0WVMdzPVE,MOSTRANDO TODA A ESTRUTURA MILIONÁRIA DA CAZÉ TV - Podpah Visita #42,632753,30545,118,2024-07-17T15:57:40Z,PT54M15S
PODPAH VISITA,7ZbyNbpqky4,A SUPER CASA DE WEVERTON EM ALPHAVILLE - Podpah Visita #41,317617,12411,101,2024-07-10T15:36:50Z,PT35M
QUEBRADA F.C.,aZozfhH19aY,CORINTHIANS 3 x 0 BAHIA - PÓS-JOGO - QUEBRADA FC #86,59076,3387,11,2024-12-04T02:33:22Z,PT1H12M5S
QUEBRADA F.C.,QTPHjILMXIY,PALMEIRAS 1 x 3 BOTAFOGO - PÓS-JOGO - QUEBRADA FC #85,37968,1680,6,2024-11-27T03:53:11Z,PT1H12M35S
QUEBRADA F.C.,4a8Eu7AuGcY,BAHIA 1 x 2 PALMEIRAS - PÓS-JOGO - QUEBRADA FC #84,28045,1239,3,2024-11-21T00:23:04Z,PT1H13M16S
QUEBRADA F.C.,4iES9mHqmzw,VENEZUELA 1 x 1 BRASIL - PÓS-JOGO - QUEBRADA FC #83,35875,1538,9,2024-11-15T00:22:27Z,PT1H20M40S
QUEBRADA F.C.,CEYaBBKlRac,CORINTHIANS 2 X 0 PALMEIRAS ft. MARCELINHO CARIOCA & JAÍLSON - PÓS-JOGO - QUEBRADA FC #82,105164,5063,10,2024-11-05T02:32:31Z,PT1H21M5S
QUEBRADA F.C.,Ik0bA_FjtcA,RACING-ARG 2 X 1 CORINTHIANS - PÓS-JOGO - QUEBRADA FC #81,34109,1675,12,2024-11-01T03:51:25Z,PT1H10M25S
QUEBRADA F.C.,aJ5O82O9mos,CORINTHIANS 5 X 2 ATHLETICO-PR - PÓS-JOGO - QUEBRADA FC #79,106579,4821,8,2024-10-18T02:33:39Z,PT1H5M51S
QUEBRADA F.C.,_8GF-ZIqDKw,CORINTHIANS 2 X 2 RACING - PÓS-JOGO - QUEBRADA FC #80,35353,1651,9,2024-10-25T04:21:31Z,PT1H41M16S
QUEBRADA F.C.,jRLjQeacvDs,CHILE 1 X 2 BRASIL - PÓS-JOGO - QUEBRADA FC #78,33649,1485,6,2024-10-11T04:00:39Z,PT1H30M46S
QUEBRADA F.C.,HDTmtXw0V2A,FLAMENGO 1 X 0 CORINTHIANS - PÓS-JOGO - QUEBRADA FC #77,25643,1466,3,2024-10-03T04:20:18Z,PT1H23M46S
QUEBRADA F.C.,B_-02K5GAG0,CORINTHIANS 3 X 0 FORTALEZA - PÓS-JOGO ft CRISTIAN  - QUEBRADA FC #76,68720,3687,12,2024-09-25T04:13:11Z,PT1H34M21S
QUEBRADA F.C.,rdLhfS8xXP8,BOTAFOGO 0 X 0 SÃO PAULO - LIVE PÓS-JOGO ft GABRIEL GUBELA  - QUEBRADA FC #75,26728,1605,8,2024-09-19T04:01:03Z,PT1H23M55S
QUEBRADA F.C.,LEMXzNuBySw,GALO PASSA E ELIMINA SÃO PAULO DA COPA DO BRASIL ft. RACHA - PÓS-JOGO QUEBRADA FC #75,35591,2042,22,2024-09-13T04:25:25Z,PT1H21M16S
QUEBRADA F.C.,7xobAEjNI_o,CORINTHIANS TEM CLASSIFICAÇÃO HEROICA EM ITAQUERA - PÓS-JOGO + COLETIVA - QUEBRADA FC #74,86968,4696,10,2024-09-12T04:12:20Z,PT1H33M25S
QUEBRADA F.C.,CiQqQ4tC9ks,SÃO PAULO 0 X 1 ATLÉTICO-MG - LIVE PÓS JOGO + COLETIVA - QUEBRADA FC #73,27129,1503,10,2024-08-29T04:06:06Z,PT1H17M35S
QUEBRADA F.C.,6wZL01qLZ8g,BOTAFOGO ELIMINA O PALMEIRAS DA LIBERTADORES ft. BRABO GORDINHO & MATHEUS - QUEBRADA FC #72,43014,2900,24,2024-08-22T03:55:58Z,PT1H8M21S
QUEBRADA F.C.,xvc0S5fgbBU,QUEM LEVA A BOLA DE OURO E CORINTHIANS VENDIDO? ft. LUCAS INUTILISMO E MC KEKEL - QUEBRADA FC #71,65055,3210,20,2024-07-15T21:30:16Z,PT2H3M56S
QUEBRADA F.C.,WXWwrhUg7Xc,"DUDU NO FLAMENGO, GABIGOL NO PALMEIRAS E BRASIL ELIMINADO ft. BIG MIKE E APOLLO - QUEBRADA FC #70",54198,3022,19,2024-07-08T21:23:44Z,PT2H9M25S
QUEBRADA F.C.,beLe7gVCBUA,"JOGO DA VIDA PARA O CORINTHIANS, GABIGOL NO PALMEIRAS ft. BIRA E DANILO SOTO - QUEBRADA FC #69",31066,1664,24,2024-07-01T20:57:59Z,PT1H52M51S
QUEBRADA F.C.,NzACXRZ_ouE,OS BASTIDORES DA CRISE NO CORINTHIANS + BRASIL NA COPA AMÉRICA ft. DANILO  - QUEBRADA FC #68,38082,2037,15,2024-06-24T20:48:49Z,PT1H35M40S
RANGO BRABO,aotzmxGzai8,AS HABILIDADES OCULTAS DE WESLEY ALEMÃO - Rango Brabo #101,346909,17611,149,2024-12-03T16:10:29Z,PT1H1M20S
RANGO BRABO,Smw_7UeXouc,O LANÇAMENTO DO RANGO BRABO BURGER FOI UM PESADELO - Rango Brabo  #100,229681,12338,96,2024-11-26T15:56:52Z,PT52M8S
RANGO BRABO,sXNwGIEHpmA,NÓS SOMOS AQUELES CARAS E NO EPISÓDIO DE HOJE TRAUMATIZAMOS O CHICO (DE NOVO) #99,1311796,83356,472,2024-11-19T16:11:17Z,PT1H6M11S
RANGO BRABO,Da2OoLQJ96g,"WHINDERSSON, JAKE PAUL E MIKE TYSON SE PREPARAM PARA LUTA NO RANGO BRABO #98",794900,48166,246,2024-11-12T16:09:10Z,PT1H2M15S
RANGO BRABO,78patt0SeLA,DEFANTE CONHECE A MÃO DE PEDRA DE ALEX POATAN - Rango Brabo #97,446405,33771,499,2024-11-05T16:05:50Z,PT59M
RANGO BRABO,QpPwkQfwc9k,THIAGO VENTURA E OS PALHAÇOS LOUCOS NO HALLOWEEN - Rango Brabo #96,630460,34419,386,2024-10-29T16:15:40Z,PT1H7M35S
RANGO BRABO,2K-S2SFwZ5c,PAULINHO O LOKO FAZ ARROZ MALUCO NO RANGO BRABO - Rango Brabo #95,385939,29563,284,2024-10-22T15:56:36Z,PT53M50S
RANGO BRABO,h9bTXdkWFWc,NINGUÉM SE ENTENDEU NESSE EPISÓDIO - Rango Brabo #94,293621,22766,348,2024-10-15T15:55:31Z,PT51M51S
RANGO BRABO,t6lkinEQd7k,EM PRIMEIRA MÃO: DI FERRERO DO NXZERO SE DESENTENDE COM MEMPHIS DEPAY!!! - Rango Brabo #93,264092,17933,341,2024-10-08T15:57:31Z,PT54M35S
RANGO BRABO,-V6NfmZ_b4s,BRINO DEIXA DEFANTE E PRODUÇÃO PASSANDO MAL COM SURPRESINHA - Rango Brabo #92,1442839,89673,1271,2024-10-01T16:17:08Z,PT1H11M35S
RANGO BRABO,JjIdQvqmQkY,THIAGO SEM T CAUSA CONSTRANGIMENTO MÁXIMO NO RANGO BRABO - Rango Brabo #91,500652,32442,446,2024-09-24T15:58:40Z,PT54M11S
RANGO BRABO,tNp8eu0ebX0,CELA LOPES É PERSONAGEM OU ODEIA POBRE MESMO? - Rango Brabo #90,392909,23574,268,2024-09-17T15:58:50Z,PT56M5S
RANGO BRABO,CcrCt7V55eE,2 REAIS OU UM PRESENTE MISTERIOSO DA MARTINA??? - Rango Brabo #89,550876,39862,291,2024-09-10T15:55:32Z,PT53M35S
RANGO BRABO,YeoYA7m1KU8,LAURA BRITO MANDA RECADO DIRETO PARA EX - Rango Brabo #88,135799,8259,148,2024-09-03T16:00:52Z,PT55M51S
RANGO BRABO,2wcEXEPYhrA,SUPLA SALVA O ROCK BRASILEIRO ENQUANTO FAZ PIZZA - Rango Brabo #87,325404,22785,293,2024-08-27T15:56:10Z,PT55M26S
RANGO BRABO,GR3QLVn7pSg,O REENCONTRO DE DIOGO DEFANTE E CLARICE FALCÃO - Rango Brabo #86,248239,15110,186,2024-08-20T15:55:54Z,PT53M
RANGO BRABO,Scc_BQjjW5I,NABOTE E A BERINJELA EM FORMA DE XEREULA - Rango Brabo #85,500683,31156,246,2024-08-13T15:58:03Z,PT53M
RANGO BRABO,a_KruhHd_yo,MAUMAU FAZ BOLO DE COCO FITNESS - Rango Brabo #84,847475,46232,417,2024-08-06T16:07:23Z,PT1H2M35S
RANGO BRABO,KxuYKYjFGvc,COZINHANDO BOBORGES DE CAMARÃO - Rango Brabo #83,432740,23408,160,2024-07-30T15:49:42Z,PT40M41S
RANGO BRABO,wGc9cqQj2GI,TONINHO TORNADO ALÉM DO CALABRESO - Rango Brabo #82,377247,20426,173,2024-07-23T15:54:35Z,PT50M36S
