video_id,comment_text,like_count
-rYdWF9Ky2U,"amei thaizoca, maumau e brino juntos",2
-rYdWF9Ky2U,Doideira,0
-rYdWF9Ky2U,é gato miando? lkkkkkkkkk,0
-rYdWF9Ky2U,"Rapaz, as mulheres maduras são diferenciadas mesmo haha",10
-rYdWF9Ky2U,"Okay, esse é o MELHOR VIDEO DE 2024",1
-rYdWF9Ky2U,😂😂😂😂😂  rir DMS,0
-rYdWF9Ky2U,Bom de maizzzzz,0
-rYdWF9Ky2U,Esse vídeo curou minha depressão,1
-rYdWF9Ky2U,P vc não! Lá eleh!,0
-rYdWF9Ky2U,Felcaa😂,0
-rYdWF9Ky2U,melhor podpaquera,0
-rYdWF9Ky2U,Esse alegrou  meu dia hj no domingo acorda e  😂😂 sorri,0
-rYdWF9Ky2U,Intervalo do caps,2
-rYdWF9Ky2U,Bom de maize,0
-rYdWF9Ky2U,Chá de caminhoneira.,0
-rYdWF9Ky2U,Rachei do começo ao fim 😂😂😂,0
-rYdWF9Ky2U,kakakkakakakaka melhor video q eu ja vi kakakakakakak,0
-rYdWF9Ky2U,lerdão,0
-rYdWF9Ky2U,Julio balestrin,0
-rYdWF9Ky2U,Nera ele que ira casar esses dias ?,0
-rYdWF9Ky2U,😂😂,0
-rYdWF9Ky2U,Como demorei 5 dias pra assistir 😂😂😂😂😂😂😂😂😂,3
-rYdWF9Ky2U,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,1
-rYdWF9Ky2U,incrivel,0
-rYdWF9Ky2U,q brisa mn kakkk,2
-rYdWF9Ky2U,Tiringa por favor,2
-rYdWF9Ky2U,49:06 karalhoo 💀💀 😂😂😂 slk cinema DEMAIS,0
-rYdWF9Ky2U,QUE LOUCURA CHOREI D+ ,6
-rYdWF9Ky2U,Ri de mais😂😂😂,1
-rYdWF9Ky2U,esse cr é fd +3 pro manel😂😂,0
-rYdWF9Ky2U,JÚLIO BALESTRIN!!!!!!!!!!!,1
-rYdWF9Ky2U,Nada contra mas ele é autista😂,0
-rYdWF9Ky2U,melhor bancada fixaaaaaa,0
-rYdWF9Ky2U,Mdssssssss que vídeo maravilhosooooooooooooo,0
-rYdWF9Ky2U,JÚLIO BALESTRIIN,0
-rYdWF9Ky2U,TOGURO NO PODPAQUERAAA,0
