playlist_title,video_id,title,views,likes,comments,published_at,duration,thumbnail
PODPAH VISITA,QF0WVMdzPVE,MOSTRANDO TODA A ESTRUTURA MILIONÁRIA DA CAZÉ TV - Podpah Visita #42,632853,30551,118,2024-07-17T15:57:40Z,PT54M15S,https://i.ytimg.com/vi/QF0WVMdzPVE/hqdefault.jpg
PODPAH VISITA,7ZbyNbpqky4,A SUPER CASA DE WEVERTON EM ALPHAVILLE - Podpah Visita #41,317667,12412,101,2024-07-10T15:36:50Z,PT35M,https://i.ytimg.com/vi/7ZbyNbpqky4/hqdefault.jpg
QUEBRADA F.C.,nQm94JdHd8M,GABIGOL DISSE TUDO NO PODPAH - QUEBRADA FC #87,171239,4985,10,2024-12-10T01:33:05Z,PT1H22M55S,https://i.ytimg.com/vi/nQm94JdHd8M/hqdefault.jpg
QUEBRADA F.C.,aZozfhH19aY,CORINTHIANS 3 x 0 BAHIA - PÓS-JOGO - QUEBRADA FC #86,59666,3406,11,2024-12-04T02:33:22Z,PT1H12M5S,https://i.ytimg.com/vi/aZozfhH19aY/hqdefault.jpg
QUEBRADA F.C.,QTPHjILMXIY,PALMEIRAS 1 x 3 BOTAFOGO - PÓS-JOGO - QUEBRADA FC #85,38046,1680,6,2024-11-27T03:53:11Z,PT1H12M35S,https://i.ytimg.com/vi/QTPHjILMXIY/hqdefault.jpg
QUEBRADA F.C.,4a8Eu7AuGcY,BAHIA 1 x 2 PALMEIRAS - PÓS-JOGO - QUEBRADA FC #84,28072,1240,3,2024-11-21T00:23:04Z,PT1H13M16S,https://i.ytimg.com/vi/4a8Eu7AuGcY/hqdefault.jpg
QUEBRADA F.C.,4iES9mHqmzw,VENEZUELA 1 x 1 BRASIL - PÓS-JOGO - QUEBRADA FC #83,35905,1538,9,2024-11-15T00:22:27Z,PT1H20M40S,https://i.ytimg.com/vi/4iES9mHqmzw/hqdefault.jpg
QUEBRADA F.C.,CEYaBBKlRac,CORINTHIANS 2 X 0 PALMEIRAS ft. MARCELINHO CARIOCA & JAÍLSON - PÓS-JOGO - QUEBRADA FC #82,105188,5063,10,2024-11-05T02:32:31Z,PT1H21M5S,https://i.ytimg.com/vi/CEYaBBKlRac/hqdefault.jpg
QUEBRADA F.C.,Ik0bA_FjtcA,RACING-ARG 2 X 1 CORINTHIANS - PÓS-JOGO - QUEBRADA FC #81,34120,1675,12,2024-11-01T03:51:25Z,PT1H10M25S,https://i.ytimg.com/vi/Ik0bA_FjtcA/hqdefault.jpg
QUEBRADA F.C.,aJ5O82O9mos,CORINTHIANS 5 X 2 ATHLETICO-PR - PÓS-JOGO - QUEBRADA FC #79,106585,4821,8,2024-10-18T02:33:39Z,PT1H5M51S,https://i.ytimg.com/vi/aJ5O82O9mos/hqdefault.jpg
QUEBRADA F.C.,_8GF-ZIqDKw,CORINTHIANS 2 X 2 RACING - PÓS-JOGO - QUEBRADA FC #80,35363,1651,9,2024-10-25T04:21:31Z,PT1H41M16S,https://i.ytimg.com/vi/_8GF-ZIqDKw/hqdefault.jpg
