playlist_title,video_id,title,views,likes,comments,published_at,duration,thumbnail
QUERIDO DIÁRIO,QOgH5djunOA,ENCONTREI MEU CRUSH NO ROCK IN RIO - QUERIDO DIÁRIO com PRISCILA EVELLYN #13,56522,2764,34,2024-09-26T15:50:50Z,PT46M55S,https://i.ytimg.com/vi/QOgH5djunOA/hqdefault.jpg
QUERIDO DIÁRIO,k0jMubiOw0U,A EXPERIÊNCIA COMPLETA COM TRAVIS SCOTT - QUERIDO DIÁRIO com PRISCILA EVELLYN #12,50152,2777,57,2024-09-19T15:39:45Z,PT36M20S,https://i.ytimg.com/vi/k0jMubiOw0U/hqdefault.jpg
QUERIDO DIÁRIO,GY1FkB18W5c,FUI EM UM PROGRAMA DA CONCORRÊNCIA + THE WEEKND E ANITTA - QUERIDO DIÁRIO com PRISCILA EVELLYN #11,62932,3777,63,2024-09-12T15:49:08Z,PT45M15S,https://i.ytimg.com/vi/GY1FkB18W5c/hqdefault.jpg
QUERIDO DIÁRIO,thS-bmcKFzY,O QUE ACONTECE NA FESTA MAIS HYPADA DO PAÍS? - QUERIDO DIÁRIO com PRISCILA EVELLYN #10,74457,4234,69,2024-09-05T15:46:25Z,PT42M55S,https://i.ytimg.com/vi/thS-bmcKFzY/hqdefault.jpg
QUERIDO DIÁRIO,cBOsQPBWMEA,TOMEI ALGUMAS DECISÕES SOBRE ESSE REALITY - QUERIDO DIÁRIO com PRISCILA EVELLYN #09,64843,4026,57,2024-08-29T15:33:48Z,PT32M1S,https://i.ytimg.com/vi/cBOsQPBWMEA/hqdefault.jpg
QUERIDO DIÁRIO,yrNVt5yjycc,TUDO O QUE FIZ EM IBIZA SEM CENSURA - QUERIDO DIÁRIO com PRISCILA EVELLYN #08,125293,7651,118,2024-08-22T15:34:17Z,PT29M31S,https://i.ytimg.com/vi/yrNVt5yjycc/hqdefault.jpg
QUERIDO DIÁRIO,CbHDxUzVeW4,O QUE ACHEI DE PARIS - QUERIDO DIÁRIO com PRISCILA EVELLYN #07,108521,6216,87,2024-08-15T15:41:36Z,PT37M30S,https://i.ytimg.com/vi/CbHDxUzVeW4/hqdefault.jpg
QUERIDO DIÁRIO,LpcYR7xH9MI,FUI CONVIDADA PARA IR PRA PARIS - QUERIDO DIÁRIO com PRISCILA EVELLYN #06,108008,6601,84,2024-08-08T15:47:03Z,PT42M6S,https://i.ytimg.com/vi/LpcYR7xH9MI/hqdefault.jpg
QUERIDO DIÁRIO,zX9O4QrYACM,MINHA PRIMEIRA VEZ EM MIAMI - QUERIDO DIÁRIO com PRISCILA EVELLYN #05,184714,14133,305,2024-08-01T15:32:28Z,PT27M56S,https://i.ytimg.com/vi/zX9O4QrYACM/hqdefault.jpg
QUERIDO DIÁRIO,XYV-ODTqFrM,MINHAS MERECIDAS FÉRIAS EM UMA ILHA PARADISÍACA - QUERIDO DIÁRIO com PRISCILA EVELLYN #04,188198,14042,238,2024-07-25T15:27:25Z,PT24M,https://i.ytimg.com/vi/XYV-ODTqFrM/hqdefault.jpg
QUERIDO DIÁRIO,7rE1wuF4Na8,MEU ANIVERSÁRIO VIROU UM BAILE FUNK! - QUERIDO DIÁRIO com PRISCILA EVELLYN #03,157784,12051,219,2024-07-18T15:29:52Z,PT26M46S,https://i.ytimg.com/vi/7rE1wuF4Na8/hqdefault.jpg
BATALHA DA ALDEIA,eA0J2yC42jM,BATALHA DA ALDEIA #399 - Super BDA,97762,5711,6,2024-12-10T02:24:13Z,PT3H11M41S,https://i.ytimg.com/vi/eA0J2yC42jM/hqdefault.jpg
BATALHA DA ALDEIA,qLaLY4A-KdQ,BATALHA DA ALDEIA #398 - Bate e Volta,135462,5643,32,2024-12-03T02:26:45Z,PT2H59M33S,https://i.ytimg.com/vi/qLaLY4A-KdQ/hqdefault.jpg
BATALHA DA ALDEIA,HXB-okb_Emk,BATALHA DA ALDEIA #397 - 45 Segundos,125446,5537,36,2024-11-26T02:01:51Z,PT2H36M15S,https://i.ytimg.com/vi/HXB-okb_Emk/hqdefault.jpg
BATALHA DA ALDEIA,B9nHeew5MlE,BATALHA DA ALDEIA #396 - Edição de Trap,178741,8873,50,2024-11-19T02:38:39Z,PT3H17M50S,https://i.ytimg.com/vi/B9nHeew5MlE/hqdefault.jpg
BATALHA DA ALDEIA,oUtFV-p7Ku0,BATALHA DA ALDEIA #395 - Formatos Especiais,239401,12962,132,2024-11-12T02:28:50Z,PT3H14M36S,https://i.ytimg.com/vi/oUtFV-p7Ku0/hqdefault.jpg
BATALHA DA ALDEIA,0hLI8XHbCXM,BATALHA DA ALDEIA #394 - Batalha de Duplas,242970,10791,77,2024-11-05T02:39:04Z,PT3H7M15S,https://i.ytimg.com/vi/0hLI8XHbCXM/hqdefault.jpg
BATALHA DA ALDEIA,PWtNXDElSrw,BATALHA DA ALDEIA #393 - Batalha Individual,191637,9777,68,2024-10-29T02:34:38Z,PT3H15M5S,https://i.ytimg.com/vi/PWtNXDElSrw/hqdefault.jpg
BATALHA DA ALDEIA,3V-XLgJ5JvI,BATALHA DA ALDEIA #392 - Batalha Individual,247271,11813,65,2024-10-22T02:21:55Z,PT3H9M10S,https://i.ytimg.com/vi/3V-XLgJ5JvI/hqdefault.jpg
BATALHA DA ALDEIA,8FeGbT5RZbk,BATALHA DA ALDEIA #391 - Batalha Individual,216287,13609,177,2024-10-15T02:24:17Z,PT3H4M1S,https://i.ytimg.com/vi/8FeGbT5RZbk/hqdefault.jpg
BATALHA DA ALDEIA,6KRfC_avzCQ,BATALHA DA ALDEIA #390 - Batalha Individual,329468,13716,113,2024-10-08T01:45:31Z,PT2H32M38S,https://i.ytimg.com/vi/6KRfC_avzCQ/hqdefault.jpg
BATALHA DA ALDEIA,dHjX7K35L9E,BATALHA DA ALDEIA #389 - Batalha Individual,259047,13446,82,2024-10-01T02:42:04Z,PT3H18M2S,https://i.ytimg.com/vi/dHjX7K35L9E/hqdefault.jpg
BATALHA DA ALDEIA,sEg4-Ca9GDY,BATALHA DA ALDEIA #388 - Batalha Individual,275618,13298,166,2024-09-24T02:32:56Z,PT3H25M35S,https://i.ytimg.com/vi/sEg4-Ca9GDY/hqdefault.jpg
BATALHA DA ALDEIA,Ea-Q9g077tI,BATALHA DA ALDEIA #387 - Batalha de Duplas,323149,16843,100,2024-09-17T02:44:46Z,PT3H32M30S,https://i.ytimg.com/vi/Ea-Q9g077tI/hqdefault.jpg
BATALHA DA ALDEIA,MaJD-IOnIvI,BATALHA DA ALDEIA #386 - Batalha Individual,294135,16007,144,2024-09-10T02:27:18Z,PT3H21M40S,https://i.ytimg.com/vi/MaJD-IOnIvI/hqdefault.jpg
BATALHA DA ALDEIA,2pi1zqo_WY8,BATALHA DA ALDEIA #385 - Batalha Individual,238964,13067,111,2024-09-03T02:07:40Z,PT2H54M40S,https://i.ytimg.com/vi/2pi1zqo_WY8/hqdefault.jpg
